date,TEMP,DEWP,SLP,WDSP,MAX,MIN,PRCP,co_24h,no2_24h,o3_24h,pm10_24h,pm25_24h,so2_24h,AQI,TEMP_DIFF,PRCP_BINARY,AQI_lag1,pm25_24h_lag1,pm10_24h_lag1,o3_24h_lag1,co_24h_lag1,no2_24h_lag1,so2_24h_lag1,TEMP_lag1,TEMP_lag2,DEWP_lag1,DEWP_lag2,SLP_lag1,SLP_lag2,WDSP_lag1,WDSP_lag2,MAX_lag1,MAX_lag2,MIN_lag1,MIN_lag2,PRCP_lag1,PRCP_lag2,TEMP_DIFF_lag1,TEMP_DIFF_lag2,PRCP_BINARY_lag1,PRCP_BINARY_lag2
2024-02-04,40.5,15.6,1013.1,11.2,51.1,27.0,0.0,0.2227272727272727,0.0051105263157894,0.0389545454545454,4.416666666666667,1.5,0.0,36,24.1,0,33.0,1.8066666666666669,12.066666666666666,0.0352857142857142,0.2,0.0060799999999999,0.0,41.1,47.9,23.1,34.7,1002.9,1004.4,11.6,9.4,52.0,61.0,36.0,35.1,0.01,0.0,16.0,25.9,1.0,0.0
2024-02-05,40.1,16.9,1021.6,5.2,55.9,27.0,0.0,0.3739130434782609,0.0185391304347826,0.020695652173913,11.666666666666666,4.495833333333334,0.0,25,28.9,0,36.0,1.5,4.416666666666667,0.0389545454545454,0.2227272727272727,0.0051105263157894,0.0,40.5,41.1,15.6,23.1,1013.1,1002.9,11.2,11.6,51.1,52.0,27.0,36.0,0.0,0.01,24.1,16.0,0.0,1.0
2024-02-06,45.2,24.0,1016.1,3.5,55.9,27.0,0.0,0.2928571428571428,0.0191210526315789,0.0133684210526315,22.625,4.3875,0.0,24,28.9,0,25.0,4.495833333333334,11.666666666666666,0.020695652173913,0.3739130434782609,0.0185391304347826,0.0,40.1,40.5,16.9,15.6,1021.6,1013.1,5.2,11.2,55.9,51.1,27.0,27.0,0.0,0.0,28.9,24.1,0.0,0.0
2024-02-07,46.6,32.3,1006.7,12.4,55.9,37.0,0.0,0.0,0.0032869565217391,0.0388260869565217,6.695652173913044,1.2304347826086957,0.0,36,18.9,0,24.0,4.3875,22.625,0.0133684210526315,0.2928571428571428,0.0191210526315789,0.0,45.2,40.1,24.0,16.9,1016.1,1021.6,3.5,5.2,55.9,55.9,27.0,27.0,0.0,0.0,28.9,28.9,0.0,0.0
2024-02-08,40.1,22.1,1011.4,9.1,50.0,35.1,0.07,0.0565217391304347,0.0038958333333333,0.0377083333333333,4.75,1.0916666666666666,0.0,35,14.899999999999999,1,36.0,1.2304347826086957,6.695652173913044,0.0388260869565217,0.0,0.0032869565217391,0.0,46.6,45.2,32.3,24.0,1006.7,1016.1,12.4,3.5,55.9,55.9,37.0,27.0,0.0,0.0,18.9,28.9,0.0,0.0
2024-02-09,37.5,17.9,1013.1,6.4,48.0,24.1,0.0,0.2083333333333333,0.0087624999999999,0.0374166666666666,7.166666666666667,2.408333333333333,0.0,35,23.9,0,35.0,1.0916666666666666,4.75,0.0377083333333333,0.0565217391304347,0.0038958333333333,0.0,40.1,46.6,22.1,32.3,1011.4,1006.7,9.1,12.4,50.0,55.9,35.1,37.0,0.07,0.0,14.899999999999999,18.9,1.0,0.0
2024-02-10,35.7,21.8,1010.3,5.3,46.0,24.1,0.0,0.2956521739130435,0.0089608695652173,0.0333478260869565,7.434782608695652,3.2347826086956526,0.0,31,21.9,0,35.0,2.408333333333333,7.166666666666667,0.0374166666666666,0.2083333333333333,0.0087624999999999,0.0,37.5,40.1,17.9,22.1,1013.1,1011.4,6.4,9.1,48.0,50.0,24.1,35.1,0.0,0.07,23.9,14.899999999999999,0.0,1.0
2024-02-11,33.3,23.6,1014.3,8.4,43.0,28.0,0.33,0.2181818181818181,0.0034947368421052,0.0356363636363636,5.583333333333333,2.841666666666667,0.0,33,15.0,1,31.0,3.2347826086956526,7.434782608695652,0.0333478260869565,0.2956521739130435,0.0089608695652173,0.0,35.7,37.5,21.8,17.9,1010.3,1013.1,5.3,6.4,46.0,48.0,24.1,24.1,0.0,0.0,21.9,23.9,0.0,0.0
2024-02-12,34.6,19.6,1020.9,4.1,48.0,24.1,0.0,0.3166666666666666,0.0164374999999999,0.0242916666666666,12.333333333333334,4.0375000000000005,0.0,22,23.9,0,33.0,2.841666666666667,5.583333333333333,0.0356363636363636,0.2181818181818181,0.0034947368421052,0.0,33.3,35.7,23.6,21.8,1014.3,1010.3,8.4,5.3,43.0,46.0,28.0,24.1,0.33,0.0,15.0,21.9,1.0,0.0
2024-02-13,38.6,20.3,1018.9,2.7,55.0,24.1,0.0,0.3166666666666666,0.0153916666666666,0.0265,10.625,3.5375,0.0,25,30.9,0,22.0,4.0375000000000005,12.333333333333334,0.0242916666666666,0.3166666666666666,0.0164374999999999,0.0,34.6,33.3,19.6,23.6,1020.9,1014.3,4.1,8.4,48.0,43.0,24.1,28.0,0.0,0.33,23.9,15.0,0.0,1.0
