"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72365023050","2024-02-16","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  46.7","24","  22.0","24","1016.0","24","837.6","24"," 10.0","24","  5.8","24"," 15.0"," 20.0","  60.1"," ","  28.9"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-17","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  43.0","24","  24.5","24","1017.7","24","838.5","24","  9.7","24","  7.5","24"," 18.1"," 24.1","  57.9"," ","  30.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-18","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  35.5","24","  23.3","24","1020.5","24","839.4","24"," 10.0","24","  5.4","24"," 18.1","999.9","  54.0"," ","  25.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-19","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  44.7","24","  25.2","24","1018.5","24","838.8","24"," 10.0","24","  3.5","24","  9.9","999.9","  62.1"," ","  25.0"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-20","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  50.0","24","  19.6","24","1020.6","24","841.9","24"," 10.0","24","  3.8","24","  7.0","999.9","  66.9"," ","  30.9"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-21","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  49.0","24","  13.2","24","1016.5","24","838.7","24","  9.9","24","  5.6","24"," 25.1"," 36.9","  66.9"," ","  35.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-22","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  50.7","24","  21.0","24","1015.7","24","838.2","24"," 10.0","24","  7.8","24"," 22.0"," 27.0","  66.0"," ","  35.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-23","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  45.7","24","  13.7","24","1020.8","24","841.6","24"," 10.0","24","  7.4","24"," 15.9"," 17.1","  60.1"," ","  33.1"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-24","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  45.2","24","   9.7","24","1021.1","24","841.5","24"," 10.0","24","  4.1","24","  8.0","999.9","  63.0"," ","  28.9"," "," 0.00","G","999.9","000000"
"72365023050","2024-02-25","35.04189","-106.61545","1618.4","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","  49.7","24","  16.6","24","1018.4","24","840.0","24"," 10.0","24","  4.2","24"," 15.9"," 25.1","  66.9"," ","  28.9"," "," 0.00","G","999.9","000000"
